"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"605","A901_Cuiaba_(automatica)",0.187,0.268,0.557,0.715
"606","A902_Tangara_da_Serra_(automatica)",0.077,0.137,0.471,0.662
"607","A903_Sao_Jose_do_Rio_Claro_(automatica)",0.074,0.131,0.417,0.592
"608","A904_Sorriso_(automatica)",0.217,0.255,0.373,0.36
"609","A905_Campo_Novo_do_Parecis_(automatica)",0.185,0.203,0.443,0.702
"610","A906_Guaranta_do_Norte_(automatica)",0.084,0.125,0.31,0.332
"611","A907_Rondonopolis_(automatica)",0.067,0.087,0.428,0.662
"612","A908_Agua_Boa_(automatica)",0.163,0.219,0.774,0.835
"613","A909_Alto_Araguaia_(automatica)",0.025,0.066,0.288,0.428
"614","A910_Apiacas_(automatica)",0.092,0.142,0.3,0.417
"615","A911_Aripuana_(automatica)",0.166,0.218,0.515,0.532
"616","A912_Campo_Verde_(automatica)",0.095,0.137,0.315,0.384
"617","A913_Comodoro_(automatica)",0.046,0.081,0.401,0.584
"618","A914_Juara_(automatica)",0.333,0.405,0.677,0.798
"619","A915_Paranatininga_(automatica)",0.169,0.259,0.66,0.834
"620","A916_Querencia_(automatica)",0.337,0.381,0.794,0.921
"621","A917_Sinop_(automatica)",0.179,0.261,0.645,0.812
"622","A919_Cotriguacu_(automatica)",0.141,0.218,0.55,0.65
"623","A920_Juina_(automatica)",0.076,0.117,0.185,0.262
"624","A921_Sao_Felix_do_Araguaia_(automatica)",0.15,0.265,0.661,0.825
"625","A922_Vila_Bela_da_S._Trindade_(automatica)",0.031,0.072,0.476,0.53
"626","A924_Alta_Floresta_(automatica)",0.093,0.125,0.486,0.709
"627","A925_PORTO_VELHO",0.111,0.151,0.546,0.64
"628","A926_CARLINDA_(Automatica)",0.139,0.236,0.534,0.617
"629","A928_NOVA_MARINGA_(Automatica)",0.132,0.208,0.525,0.778
"630","A929_NOVA_UBIRATA_(Automatica)",0.051,0.06,-0.002,-0.041
"631","A930_GAUCHA_DO_NORTE_(Automatica)",0.143,0.204,0.431,0.503
"632","A931_SANTO_ANTONIO_DO_LESTE_(Automatica)",0.026,0.027,0.06,0.053
"633","A932_GUIRATINGA_(Automatica)",0.096,0.176,0.513,0.601
"634","A933_ITIQUIRA_(Automatica)",0.024,0.07,0.255,0.219
"635","A934_ALTO_TAQUARI_(Automatica)",0.098,0.173,0.51,0.512
"636","A935_PORTO_ESTRELA_(Automatica)",0.204,0.06,0.103,0.145
"637","A936_SALTO_DO_CEU_(Automatica)",0.036,0.075,0.412,0.436
"638","A937_PONTES_E_LACERDA_(Automatica)",0.006,0.018,0.086,0.067
"639","A938_VILHENA_(Automatica)",0.05,0.121,0.701,0.858
"640","A939_CACOAL_(Automatica)",0.126,0.204,0.66,0.847
"641","A940_ARIQUEMES_(Automatica)",0.273,0.257,0.389,0.475
"642","G_9000113_ANGRA_DOS_REIS",0.101,0.196,0.524,0.537
"643","G_9000114_BELO_HORIZONTE_(AEROPORTO)",0.438,0.51,0.694,0.799
"644","G_9000136_SERRA_DOS_AIMORES",0.415,0.486,0.893,0.918
"645","G_9000147_CAMPO_TENENTE",0.383,0.439,0.722,0.733
"646","G_9000182_UBERABA_(AEROPORTO)",0.205,0.321,0.833,0.895
"647","G_9000190_RIO_DE_JANEIRO",0.231,0.346,0.632,0.71
"648","G_9000194_AFONSOS-AERO_(ITATIAIA-PARQUE_NAC.)",0.22,0.329,0.693,0.796
"649","G_9000206_URUCUI",0.08,0.132,0.528,0.645
"650","G_9000212_FEIRA_DE_SANTANA",0.473,0.494,0.83,0.857
"651","G_9000214_COTRIGUACU",0.248,0.293,0.638,0.763
"652","G_9000221_TRINDADE_(ILHA)",0.202,0.317,0.695,0.752
"653","G_9000227_DOURADOS",0.414,0.432,0.801,0.837
"654","G_9000249_CAMBUQUIRA",0.269,0.364,0.663,0.819
"655","G_9000652_SAO_PEDRO_DA_ALDEIA",0.421,0.482,0.781,0.86
"656","G_9000660_PALOTINA",0.511,0.545,0.837,0.884
"657","G_9000667_MUCURICI",0.341,0.425,0.886,0.957
"658","G_9000698_SAO_FELIX_DO_XINGU",0.283,0.324,0.615,0.768
"659","G_9000734_GUAIRA",0.396,0.427,0.669,0.691
"660","G_9000761_TERESOPOLIS_-_PARQUE_NACIONAL",0.421,0.503,0.805,0.794
"661","G_9000800_CARMO",0.442,0.507,0.681,0.681
"662","G_9000814_SANTO_ANTONIO_DE_PADUA",0.276,0.371,0.648,0.67
"663","G_9000818_AGUA_CLARA",0.181,0.255,0.526,0.693
"664","G_9001411_Sao_Carlos",0.053,0.124,0.622,0.734
"665","G_9012744_Luis_Eduardo",0.299,0.337,0.787,0.913
"666","G_9012747_SANTA_MARIA_(AEROPORTO)",0.305,0.382,0.794,0.684
"667","G_9012748_PONTA_PORA_(AEROPORTO)",0.269,0.332,0.737,0.756
"668","G_9012749_URUGUAIANA_(AEROPORTO)",0.394,0.467,0.576,0.485
"669","G_9012757_UBERABA_(AEROPORTO)",0.22,0.325,0.653,0.819
"670","G_9012776_BOA_VISTA_(AEROPORTO)",0.449,0.526,0.746,0.777
"671","G_9012781_NOVA_IGUACU",0.308,0.422,0.767,0.817
"672","G_9012787_MOCOCA",0.133,0.231,0.691,0.707
"673","G_9012968_Sinop",0.075,0.167,0.562,0.823
