"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"316","A321_PATOS",0.296,0.225,0.456,0.55
"317","A322_GARANHUNS",0.105,0.088,0.199,0.011
"318","A323_PAO_DE_ACUCAR",0.152,0.191,0.372,0.3
"319","A324_TAUA",0.299,0.377,0.717,0.841
"320","A325_QUIXERAMOBIM",0.225,0.257,0.468,0.502
"321","A326_BOM_JESUS",0.039,0.104,0.361,0.522
"322","A327_PALMEIRA_DOS_INDIOS",0.16,0.173,0.677,0.548
"323","A328_SURUBIM_(Automatica)",0.198,0.162,0.474,0.424
"324","A329_CABROBO",0.08,0.138,0.481,0.659
"325","A330_PAULISTANA",0.28,0.276,0.629,0.822
"326","A331_SAO_JOAO_DO_PIAUI",0.132,0.231,0.522,0.613
"327","A332_MORADA_NOVA",0.331,0.374,0.708,0.72
"328","A333_S¿¿O_GON¿¿ALO",0.371,0.453,0.611,0.721
"329","A334_MONTEIRO",0.184,0.247,0.52,0.693
"330","A335_PIRIPIRI",0.082,0.164,0.609,0.762
"331","A336_ALVORADA_DO_GURGUEIA",0.19,0.336,0.825,0.909
"332","A337_CARACOL",0.222,0.372,0.671,0.819
"333","A338_ESPERANTINA",0.083,0.145,0.543,0.745
"334","A339_JAGUARUANA",0.284,0.357,0.632,0.613
"335","A340_APODI",0.087,0.17,0.403,0.912
"336","A341_CARUARU",0.025,0.044,0.13,0.053
"337","A342_CRATEUS_(Automatica)",0.108,0.231,0.614,0.744
"338","A343_PICOS_(Automatica)",0.288,0.344,0.616,0.894
"339","A345_SAO_RAIMUNDO_NONATO_(Automatica)",0.037,0.163,0.676,0.908
"340","A346_URUCUI_(Automatica)",0.088,0.188,0.385,0.458
"341","A347_CAMPOS_SALES_(Automatica)",0.364,0.415,0.653,0.807
"342","A348_CABACEIRAS_(Automatica)",0.042,0.066,0.413,0.436
"343","A349_IBIMIRIM_(Automatica)",0.056,0.117,0.386,0.45
"344","A350_SERRA_TALHADA_(Automatica)",0.241,0.301,0.491,0.696
"345","A351_FLORESTA_(Automatica)",0.257,0.286,0.446,0.749
"346","A353_ARAPIRACA_(Automatica)",0.014,0.006,-0.012,-0.03
"347","A354_OEIRAS_(Automatica)",0.212,0.324,0.643,0.852
"348","A355_CORURIPE_(Automatica)",0.209,0.098,0.364,0.105
"349","A356_SAO_LUIS_DO_QUITUNDE_(Automatica)",0.25,0.252,0.458,0.349
"350","A357_PALMARES_(Automatica)",0.336,0.229,0.388,0.255
"351","A358_JAGUARIBE_(Automatica)",0.087,0.24,0.294,0.485
"352","A359_ITAPIPOCA_(Automatica)",0.077,0.147,0.538,0.877
"353","A360_ACARAU_(Automatica)",0.228,0.283,0.754,0.867
"354","A361_CASTELO_DO_PIAUI_(Automatica)",0.328,0.323,0.671,0.838
